DeltariSeglingCtr,DeltariRegistrerandeKrets,DeltariFNDeltagare,DeltariFNSegling,DeltariSkipperGastqq,DeltariFNSkipperGast
2769,"Stockholm",824,1892,,1
2770,"Stockholm",1015,1893,,1
2771,"Stockholm",1061,1895,,1
2772,"Stockholm",762,1882,,1
2773,"Stockholm",829,1892,,1
2774,"Stockholm",846,1888,,1
2775,"Stockholm",4,1900,,2
2776,"Stockholm",591,1901,,2
2777,"Stockholm",205,1902,,2
2778,"Stockholm",800,1903,,2
2779,"Stockholm",900,1901,,1
2780,"Stockholm",1063,1872,,1
2781,"Stockholm",48,1872,,1
2782,"Stockholm",1064,1872,,1
2783,"Stockholm",954,1881,,1
2784,"Stockholm",1065,1884,,1
2785,"Stockholm",758,1894,,1
2786,"Stockholm",1010,1904,,2
2787,"Stockholm",1032,1904,,1
2788,"Stockholm",1033,1904,,1
2789,"Stockholm",1034,1904,,1
2790,"Stockholm",185,1905,,2
2791,"Stockholm",977,1906,,2
2792,"Stockholm",822,1907,,2
2793,"Stockholm",810,1908,,2
2794,"Stockholm",193,1902,,1
2795,"Stockholm",988,1906,,1
2796,"Stockholm",901,1884,,1
2797,"Stockholm",827,1898,,1
2798,"Stockholm",575,1898,,1
2799,"Stockholm",1066,1898,,1
2800,"Stockholm",1067,1898,,1
2801,"Stockholm",818,1908,,1
2802,"Stockholm",964,1900,,1
2803,"Stockholm",1006,1859,,1
2804,"Stockholm",1068,1877,,1
2805,"Stockholm",1069,1859,,1
2806,"Stockholm",694,1877,,1
2807,"Stockholm",1019,1859,,1
2809,"Stockholm",764,,,1
2810,"Stockholm",764,,,1
2811,"Stockholm",817,,,1
2812,"Stockholm",817,,,1
2813,"Stockholm",54,1910,,2
2819,"Stockholm",614,1910,,1
2821,"Stockholm",1000,1913,,2
2822,"Stockholm",56,1914,,2
2823,"Stockholm",1072,1915,,2
2824,"Stockholm",1071,1916,,2
2825,"Stockholm",976,1917,,2
2826,"Stockholm",916,1918,,2
2827,"Stockholm",742,1919,,2
2828,"Stockholm",244,1920,,2
2829,"Stockholm",1070,1921,,2
2831,"Stockholm",16,1923,,2
2832,"Stockholm",1074,1915,,1
2833,"Stockholm",1075,1915,,1
2834,"Stockholm",1076,1915,,1
2835,"Stockholm",1077,1915,,1
2836,"Stockholm",1073,1917,,1
2837,"Stockholm",1015,1913,,1
2838,"Stockholm",873,1919,,1
2839,"Stockholm",663,1924,,2
2840,"Stockholm",58,1925,,2
2841,"Stockholm",29,1926,,2
2842,"Stockholm",30,1927,,2
2843,"Stockholm",1078,1928,,2
2844,"Stockholm",1079,1929,,2
2846,"Stockholm",645,1931,,2
2847,"Stockholm",726,1927,,1
2848,"Stockholm",9,1932,,2
2849,"Stockholm",95,1933,,2
2850,"Stockholm",121,,,1
2851,"Stockholm",121,,,1
2852,"Stockholm",121,,,1
2853,"Stockholm",121,1933,,1
2854,"Stockholm",135,1934,,2
2855,"Stockholm",1082,1935,,2
2856,"Stockholm",1081,1936,,2
2857,"Stockholm",7,1937,,2
2858,"Stockholm",57,1938,,2
2859,"Stockholm",163,1939,,2
2860,"Stockholm",14,1940,,2
2861,"Stockholm",567,1941,,2
2862,"Stockholm",1083,1942,,2
2863,"Stockholm",1007,1943,,2
2864,"Stockholm",37,1944,,2
2865,"Stockholm",616,1945,,2
