BoatIndNr,BoatIndFNBoattyp,BoatIndNamn,BoatIndParmNr,BoatIndVHF,BoatIndMobil
433,12,"Whiplash","513",,
434,159,"Windrose","743",,
435,3,"Viv","650",,
437,189,"X-Ett","6188",,
438,161,"Yvette","41",,
439,150,"Zephyr","4",,
440,42,"Åsa","2410",,
441,220,"Älfvan","2697",,
442,185,"Anita","272",,
444,192,"Angora","2",,
446,195,"Amano","36",,
447,91,"Albatrozz","167",,
448,144,"Ariadne","5",,
449,196,"Jarramas","8",,
450,5,"Scandal","146",,
451,205,"Absolut","28",,
452,51,"Adrienne","122",,
456,5,"Ataleia","38",,
457,198,"Bacchus","9087",,
458,200,"Bilbo","9959",,
459,90,"Blomman","2298",,
460,195,"Blå","45",,
461,211,"BlåCarat","21479",,
462,16,"Bon Voyage 3","525",,
463,199,"Embla","36",,
464,21,"Eskapad","130",,
465,214,"Ester","24",,
466,48,"Flax 2","268",,
468,172,"Happy Hours","82",,
469,65,"Hispaniola","309",,
470,78,,"336",,
471,132,"Kråkan","283",,
472,212,"Lazy Daisy","175",,
473,101,"Lova","44",,
474,29,"Luta och Kör","257",,
475,202,"Maria","366",,
476,12,"Märta","657",,
477,206,"Naomi","863",,
478,100,"Nora IV","201",,
479,213,"Rödtott","147",,
480,128,"Kling","517",,
481,208,"Ariadne","4",,
482,204,"Safira","70",,
484,197,"Sjöugglan","0",,
485,210,"Sorgenfri","58",,
486,51,"Svan af Vindö","102",,
487,215,"Tuna","9431",,
488,216,"Xplosion","84",,
489,218,"Grodan","29",,
490,65,"Formidable","70",,
491,162,"Lover","69",,
493,221,"Movitz II","5286",,
494,47,"l'Optimiste","331",,
495,87,"Egila","1391",,
496,68,"Victoria","100",,
497,12,"Anja","379",,
498,222,"La Bona 2","633",,
499,26,"Maximilia","2146",,
500,223,"Vilja","461",,
501,224,"LimaBravo","655",,
502,115,"Charlotta","282",,
503,130,"Waldstern","43",,
504,225,"Rocad","9214",,
505,145,"Annarella","206",,
506,47,"Aniara","15",,
507,80,"Ariadne","59",,
508,226,"Barbrosia","6197",,
509,104,"Busy Bee","43",,
510,230,"Elisabeth II","25",,
512,202,"Jipp-ii","242",,
513,228,"Mrs Flipper","451",,
514,180,"Nyami Nyami","56",,
515,37,"Siri","3",,
516,231,"Skvadern","82",,
517,19,"Solitud","404",,
518,18,"Susea","897",,
519,5,"Triad","81",,
520,227,"Trotsig","419",,
522,236,"Cassandra","6254",,
523,47,"Codden","485",,
524,233,"Eilean of Rhu","12",,
525,31,"Emma","4742",,
526,235,"Hulda","49",,
527,152,"Ladyhawke","16",,
528,12,"Lopolina","323",,
529,232,"Malena","3959",,
530,235,"Plasque","175",,
531,12,"Po","511",,
533,235,"Squette","184",,
534,234,"Sybarit","8205",,
536,116,"Tingeling","92",,
537,12,"Lenetta","2541",,
538,36,"Amorina","170",,
539,237,"Sjölek","8776",,
540,11,"S:t Ibb","9826",,
541,238,"Tiger","163",,
542,51,"Agnes B","131",,
543,69,"Skruff","148",,
544,207,"Carpe Diem","154",,
545,240,"Divina","30",,
546,237,"Timi","251",,
547,119,"Sjövild","34",,
548,78,"My","584",,
549,241,"Frida","207",,
455,201,"Ariel","353",,
550,87,"Lova","540",,
551,84,"Guding","105",,
552,164,"Jonna","1070",,
553,174,"Green Pearl","43",,
554,24,"Potemkin","176",,
555,242,"Leane","49",,
556,243,"Gerda","176",,
557,197,"Strazz","8738",,
558,177,"Akka V","0",,
559,244,"Cavatina","154",,
560,5,"Doris Aurora","431",,
562,246,"Charlotta","429",,
563,197,"Carisma","8715",,
564,48,"Zäta","841",,
565,138,"Namárië","130",,
566,56,"Frida","10845",,
567,12,"Malini","565",,
568,247,"Medvind","0",,
569,248,"Nefele","208",,
570,5,"Agda","238",,
571,148,"Lova","138",,
572,26,"Muz77","709",,
573,247,"Spirit of Adventure ","0",,
575,249,"Lulu","0",,
576,250,"Lisa","0",,
578,251,"Winnie","120",,
579,252,"Aqua Alma","9",,
581,16,"Ran","3623",,
582,253,"The Ocean View","7305",,
583,223,"Elina","250",,
584,254,"Nilla","10883",,
585,255,"Barbara","216",,
586,256,"VSSK 1","0",,
587,187,"Ingrid IV","639",,
588,101,"Cefrica","82",,
590,257,"Blåklucka","107",,
592,258,"Drutten","69",,
593,107,"Unique","140",,
594,5,"Aquarelle","224",,
595,218,"Piquero","6930",,
597,259,"Sofie","7",,
598,260,"Bitte","30",,
599,55,"MaVie","406",,
600,69,"Aurora","202",,
601,261,"Pollifax","206",,
602,262,"Doris","0",,
605,263,"Me Too","1",,
606,22,"Molly Bird","9368",,
607,12,"Vindil","5213",,
608,4,"Independence","3343",,
609,24,"Lunsen","325",,
610,127,"Sissela af Böljeby","91",,
611,264,"Elin Alida","0",,
612,36,"Dröm","28",,
614,12,"Lenetta","SWE 2541",,
616,238,"Cubana","6",,
617,90,"Blomman av Hagede","2298",,
618,38,"Jajja","326",,
620,270,"High Five","15",,
622,272,"Mist","0",,
623,273,"Labogele","62",,
624,37,"Ellida","44",,
626,274,"Airborne","39",,
627,275,"Seven Seas","487",,
629,131,"Wind Lady","128",,
630,68,"Victoria","100",,
631,276,"Maruna II","294",,
633,29,"Naya","1081",,
634,16,"Kronkvist IV","533",,
635,278,"Hjorten","0",,
636,38,"Slösa","392",,
637,279,"Malin","47",,
639,281,"Latoj","195",,
640,282,"Beata Bruus","55",,
642,199,"Svenska Svea","0",,
644,283,"Yaila","10930",,
645,24,"Maja II","314",,
646,58,"Sjöskum","S105",,
647,23,"Jennifer","229",,
648,4,"Tyra","3381",,
649,10,"Svartörn","S34",,
650,285,"vixen","6196",,
653,266,"Mamacita","54",,
654,269,"Quintic","10749",,
155,110,"Blåtunga","94",,
655,271,"Northumbrian Piper","6385",,
657,58,"Sjöskum","105",,
658,285,"Vixen","6196",,
669,292,"Tunnag","0",,
670,293,"Strix","3",,
672,47,"Vanja 2","325",,
673,75,"Vågspel 2","112",,
674,107,"Felicia","166",,
676,212,"Invita","165",,
677,294,"Vindöga","43",,
678,256,"Båtsson","263",,
679,295,"Euforia","42",,
680,296,"Epoxi","9795",,
681,84,"Purple Dream","44",,
684,107,"Alvina","12",,
685,47,"Blå Tåget","111",,
686,27,"Chaconne","42",,
687,107,"Sanibel","130",,
689,26,"Karma","0",,
690,297,"Milla","0",,
691,279,"StarEye","279",,
692,48,"Ifaros","127",,
693,21,"Klöver","216",,
694,298,"SkotRåttan","227",,
695,299,"Ami","34",,
696,138,"Sea Borne","2",,
697,300,"Saga","17",,
698,110,"Midori","80",,
699,301,"Maya","0",,
700,55,"Olivia","382",,
701,302,"Ellen","2",,
702,303,"Lady Grey","0",,
703,31,"Snövit","0",,
704,304,"Maritime","3",,
706,241,"Fideli","73",,
707,305,"Sueno","3",,
708,306,"Trubaduren II","272",,
709,307,"Julia","8898",,
710,247,"Atema","0",,
711,26,"NoName","0",,
712,308,"Penelope","0",,
713,48,"Musirull","2232",,
714,309,"Kermit","321",,
718,249,"Waypoint","260",,
719,170,"Alcina","2864",,
720,311,"Siri","553",,
721,107,"LinaMaria","37",,
722,145,"Ophelia","2",,
723,312,"Seahorse","910",,
724,314,"White Lady","0",,
725,207,"Leonis","0",,
726,71,"Pingvin","9089",,
727,12,"Lady Zandra","602",,
728,315,"Smeralda","16",,
729,316,"Blåtand","10017",,
730,64,"Dido","389",,
731,191,"Lady Cavok","49",,
732,249,"Vie Bleue","0",,
733,317,"Shela","0",,
735,319,"Ad lib","571",,
736,320,"Femettan","51",,
738,144,"Kaikobad","32",,
739,322,"Svea","3",,
740,62,"Diomedea","309",,
742,241,"Barina","0",,
743,212,"Segla","128",,
745,325,"Frida","1081",,
746,45,,,,
747,199,"Breezer","0",,
748,327,"Tenoren II","361",,
749,221,"Hattifnatt","8998",,
750,12,"Elisif","0",,
751,39,"Mousiké","0",,
752,328,"Gerofia","52",,
753,132,"Brendan","232",,
756,330,"N-JOY","0",,
758,55,"Dinova","297",,
759,128,"Kristinn","285",,
760,325,"Strega","195",,
761,48,"Syster","1882",,
762,24,"Hedda","540",,
763,91,"Solkatten","163",,
764,29,"Aja-Fia II","989
989",,
766,331,"SeaMore","702",,
767,238,"Panta Rei","148",,
768,,,,,
769,15,"Lady Kallisti","52",,
770,292,"Aldi","0",,
771,292,"Sisi","0",,
483,207,"Shibumi","9233",,
772,12,"Julia","680
680",,
773,198,"Wonderer","2451",,
775,48,"Beda","1281",,
776,29,"Estrina","1099",,
777,191,"Galder","20",,
778,38,"Grand Vitesse","403",,
779,334,"Hirilondë","10967",,
780,125,"Laysea","1642",,
781,112,"Namnlös","0",,
782,36,"Nicole","196",,
783,333,"Rose","37",,
784,87,"S/S Örnen","0",,
785,335,"Tilda","0",,
788,339,"Sunniva V","321",,
789,340,"Cajsa","0",,
790,36,"Prisma","162",,
791,341,"Fiona","0",,
792,144,"Amfitrite","65",,
793,343,"Deanja II","0",,
794,344,"Lisa","1301",,
795,345,"Carla X","11",,
796,80,"Skönheten II","79",,
797,347,"Miss Puh","0",,
798,177,"Maja","13",,
799,346,"Animé","0",,
800,39,"Titina","581",,
802,349,"CaMeVa Bien","10407",,
803,64,"Égy","190",,
804,350,"Gran Cru","167",,
805,311,"Gullkrona","0",,
806,351,"Lisa","0",,
807,,,,,
808,352,"Nangijala","0",,
809,353,"Storslam","7152",,
810,354,"Svala","733",,
811,355,"jojo","306",,
813,199,"Bisbald","0",,
814,357,"Pluto","0",,
815,9,"Kompis","483",,
816,188,"Luna","200",,
817,358,"Wanja-Maja","652",,
818,359,"Malini 3.0","35553",,
819,48,"Smörblomman","1873",,
820,361,"Minvila","16",,
821,145,"Salt","132",,
822,360,"Afrodite","0",,
823,138,"Klöver Dam","5636",,
824,205,"NoName","28",,
825,362,"Calypso","151",,
826,337,"Chanty","116",,
827,327,"Pio","0",,
828,327,"PrimeTime","0",,
829,292,"Scaramouch","0",,
831,26,"Lilla blå","1205",,
832,364,"Thalassa","0",,
833,365,"Finally","0",,
834,147,"Cenita","55",,
835,366,"Cool Runnings","0",,
836,184,"Uhuru","283",,
837,367,"Amanda","25",,
838,98,"Andiamo","44",,
839,373,"Ellen","52",,
840,369,"Garbo","64",,
841,84,"Haffsårkestern","59",,
842,283,"Merano","607",,
843,370,"Mrs Badcrumble","19",,
844,372,"Tuuli","0",,
845,37,"Madame H","13",,
846,374,"Cantella 2","0",,
848,375,"Escape","28",,
849,107,"Gumman 100","100",,
850,50,"Saga","67",,
854,378,"Esmeralda","0",,
855,107,"Anemona","99",,
857,364,"Chamsin","615",,
858,32,"Fama","38",,
859,379,"Twice as nice","0",,
860,343,"Joy","0",,
861,58,"Viktoria","223",,
862,380,"S/Y Chablis","0",,
864,114,"Lancing","10",,
865,92,"Malin","40",,
866,328,,,,
867,270,"Wiad","37",,
868,146,"Carmel","101",,
869,38,"Carpen","101",,
870,51,"Cirrus","115",,
871,383,"Duckie","1",,
872,151,"Greyhound","86",,
873,335,"Herakleitos","278",,
874,58,"Lea","140",,
875,36,"The Ace","264",,
876,,,,,
878,184,"Lady Gutte","121",,
675,38,"Vitesse","403",,
879,386,"Delight II","6549",,
