SeglingFNStart,SeglingStartDag,SeglingStartTid,SeglingPeriod,StartDagCtr,StartVeckodag,StartDag,StartAr,StartVH,StartFNTid,UrvalStartTid,TmpRegatta,TmpOrganizer,TmpRace,TmpRegattaName
226,09/05/15 00:00:00,12:00-12:30,24,226,Lör,09/05/15 00:00:00,2015,H,2,12:00-12:30,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
227,09/04/15 00:00:00,12:00-20:00,48,227,Fre,09/04/15 00:00:00,2015,H,1,12:00-20:00,Sthlm-2015H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2015 i Stockholm
231,06/05/16 00:00:00,05:00-06:00,12,231,Sön,06/05/16 00:00:00,2016,V,8,05:00-06:00,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
232,06/04/16 00:00:00,16:00-16:30,24,232,Lör,06/04/16 00:00:00,2016,V,6,16:00-16:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
232,06/05/16 00:00:00,05:00-06:00,12,232,Lör,06/04/16 00:00:00,2016,V,6,16:00-16:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
233,06/03/16 00:00:00,12:00-16:30,48,233,Fre,06/03/16 00:00:00,2016,V,5,12:00-16:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
233,06/03/16 00:00:00,12:00-16:30,24,233,Fre,06/03/16 00:00:00,2016,V,5,12:00-16:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
237,06/04/16 00:00:00,07:00-07:30,12,237,Lör,06/04/16 00:00:00,2016,V,3,07:00-07:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
238,06/04/16 00:00:00,12:00-12:30,24,238,Lör,06/04/16 00:00:00,2016,V,2,12:00-12:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
239,06/03/16 00:00:00,12:00-20:00,48,239,Fre,06/03/16 00:00:00,2016,V,1,12:00-20:00,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
240,06/02/16 00:00:00,12:00-20:00,72,240,Tors,06/02/16 00:00:00,2016,V,1,12:00-20:00,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
243,06/05/16 00:00:00,07:00-07:30,12,243,Sön,06/05/16 00:00:00,2016,V,3,07:00-07:30,Sthlm-2016V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2016 i Stockholm
245,09/03/16 00:00:00,07:00-07:30,12,245,Lör,09/03/16 00:00:00,2016,H,3,07:00-07:30,Sthlm-2016H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2016 i Stockholm
246,09/03/16 00:00:00,12:00-12:30,24,246,Lör,09/03/16 00:00:00,2016,H,2,12:00-12:30,Sthlm-2016H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2016 i Stockholm
247,09/02/16 00:00:00,05:00-06:00,12,247,Fre,09/02/16 00:00:00,2016,H,6,16:00-16:30,Sthlm-2016H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2016 i Stockholm
247,09/02/16 00:00:00,16:00-16:30,24,247,Fre,09/02/16 00:00:00,2016,H,6,16:00-16:30,Sthlm-2016H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2016 i Stockholm
248,09/02/16 00:00:00,12:00-20:00,48,248,Fre,09/02/16 00:00:00,2016,H,1,12:00-20:00,Sthlm-2016H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2016 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
39,08/23/05 00:00:00,12:00-20:00,120,39,Tis,08/23/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
36,08/26/05 00:00:00,12:00-20:00,48,36,Fre,08/26/05 00:00:00,2005,H,1,12:00-20:00,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
35,08/27/05 00:00:00,07:00-07:30,12,35,Lör,08/27/05 00:00:00,2005,H,3,07:00-07:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
34,08/27/05 00:00:00,12:00-12:30,24,34,Lör,08/27/05 00:00:00,2005,H,2,12:00-12:30,Sthlm-2005H,Svenska Kryssarklubbens Stockholmskrets,Höstseglingen ,Höstseglingen 2005 i Stockholm
112,06/05/10 00:00:00,12:00-12:30,24,112,Lör,06/05/10 00:00:00,2010,V,2,12:00-12:30,Sthlm-2010V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2010 i Stockholm
66,05/31/08 00:00:00,12:00-12:30,24,66,Lör,05/31/08 00:00:00,2008,V,2,12:00-12:30,Sthlm-2008V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2008 i Stockholm
99,06/06/09 00:00:00,12:00-12:30,24,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
99,06/06/09 00:00:00,12:00-12:30,12,99,Lör,06/06/09 00:00:00,2009,V,2,12:00-12:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
98,06/06/09 00:00:00,07:00-07:30,12,98,Lör,06/06/09 00:00:00,2009,V,3,07:00-07:30,Sthlm-2009V,Svenska Kryssarklubbens Stockholmskrets,Vårseglingen ,Vårseglingen 2009 i Stockholm
